ID,iff,hrs
bd20bdes11003,521,4
ms22btech11024,521,5
ee20btech11062,521,3
ch22btech11012,521,6
ic22btech11007,521,4
ch21btech11014,521,6
ee20btech11024,521,6
ee20btech11015,521,4
ma21btech11008,521,5
bt22btech11013,521,6
bd21bdes11007,521,4
bt22btech11011,521,4
ce22btech11052,521,6
ma20btech11021,521,3
bd21bdes11011,521,3
me22btech11009,521,5
ic22btech11004,521,3
es21btech11030,521,5
es21btech11005,521,5
es21btech11009,521,6
me22btech11038,521,7
ee20btech11050,521,5
ce22btech11006,521,3
cs22btech11048,521,5
ee20btech11060,521,5
ai22btech11025,521,4
ch22btech11037,521,6
cs22btech11059,521,5
es21btech11034,521,5
ch22btech11025,521,4
ee20btech11040,521,3
me20btech11006,521,7
cs22btech11009,521,4
ms22btech11007,521,5
es22btech11034,521,5
es22btech11031,521,4
co22btech11011,521,4
ai22btech11003,521,6
ai22btech11018,521,6
bd20bdes11019,521,3
ee22btech11047,521,5
ee22btech11033,521,3
cs22btech11061,521,6
cs22btech11055,521,4
ma21btech11002,521,6
ee22btech11009,521,4
ee21btech11042,521,4
ce21btech11033,521,5
ce21btech11031,521,4
cs20btech11032,521,6
bd21bdes11020,521,4
bd21bdes11010,521,5
cs22btech11053,521,4
ma20btech11013,521,3
me22btech11015,521,3
bd21bdes11018,521,4
ce22btech11002,521,3
ce22btech11035,521,3
bd21bdes11010,521,5
ce22btech11055,521,3
me22btech11032,521,4
bd21bdes11004,521,6
ch22btech11025,521,5
bd21bdes11020,521,4
bd21bdes11005,521,6
es22btech11020,521,4
ce22btech11049,521,5
ma20btech11013,521,3
ce22btech11006,521,2
ce22btech11052,521,2
ms22btech11007,521,3
cs22btech11053,521,4
ee22btech11032,521,5
es22btech11024,521,3
ai22btech11018,521,3
es22btech11034,521,4
co22btech11011,521,3
cs21btech11002,521,3
bd20bdes11019,521,5
bd20bdes11003,521,6
bd21bdes11009,521,4
ai21btech11002,521,5
cs22btech11054,521,3
cs22btech11024,521,4
ai22btech11007,521,4
cs22btech11048,521,4
ch22btech11016,521,4
